client_id,first_name,last_name,gender,date_of_birth,city,state,country,annual_income,risk_profile,account_open_date,age,income_bracket
56,Upkaar,Dara,Male,1988-04-17,Jaipur,Rajasthan,India,1206771,Low,2025-04-17,38,Upper Middle
57,Isaiah,Bhatt,Male,1992-11-13,Lucknow,Uttar Pradesh,India,3233147,Low,2020-09-14,33,Upper Middle
58,Advaith,Karpe,Male,1963-04-07,Chennai,Tamil Nadu,India,3642574,Low,2022-03-28,63,Upper Middle
59,Aarini,Bobal,Female,1963-10-27,New Delhi,Delhi,India,3652745,Medium,2020-03-26,62,Upper Middle
60,Jyoti,Bir,Female,1989-04-07,Mumbai,Maharashtra,India,2526893,Low,2017-06-27,37,Upper Middle
61,Noah,Bobal,Male,1977-09-03,Kolkata,West Bengal,India,4590127,Low,2017-01-08,48,Upper Middle
62,Jagat,Mallick,Male,1959-12-04,New Delhi,Delhi,India,314187,Medium,2025-03-26,66,Low
63,Hredhaan,Zacharia,Male,2000-07-29,Kolkata,West Bengal,India,3069918,Medium,2024-09-29,25,Upper Middle
64,Vritti,Kibe,Female,1962-12-17,New Delhi,Delhi,India,3036220,Medium,2018-09-27,63,Upper Middle
65,Samar,Gupta,Male,1992-12-03,Hyderabad,Telangana,India,3480501,Medium,2024-07-13,33,Upper Middle
66,Chanakya,Sankar,Male,1979-10-03,Bhopal,Madhya Pradesh,India,303405,Low,2018-02-03,46,Low
67,Udyati,Roy,Female,1975-11-27,Udaipur,Rajasthan,India,4009105,Medium,2022-07-07,50,Upper Middle
68,Avni,Chaudhari,Female,2000-02-10,Hubli,Karnataka,India,4623924,Medium,2024-06-06,26,Upper Middle
69,Saksham,Nori,Male,1962-02-06,Surat,Gujarat,India,2184422,High,2017-07-08,64,Upper Middle
70,Jeet,Handa,Male,1989-11-06,Mumbai,Maharashtra,India,910927,Medium,2018-05-06,36,Middle
71,Udarsh,Dey,Male,1980-03-07,Udaipur,Rajasthan,India,1537918,Medium,2019-09-21,46,Upper Middle
72,Gavin,Mallick,Male,1991-04-08,Rajkot,Gujarat,India,4644944,Medium,2023-08-31,35,Upper Middle
73,Kritika,Borra,Female,1996-11-10,Rajkot,Gujarat,India,4755457,High,2024-05-10,29,Upper Middle
74,Chavvi,Bedi,Female,1958-10-30,Kanpur,Uttar Pradesh,India,3879760,High,2024-01-10,67,Upper Middle
75,Advika,Chander,Female,1974-11-23,Hubli,Karnataka,India,2474256,Medium,2025-09-07,51,Upper Middle
76,Geetika,Ray,Female,1965-03-13,Hyderabad,Telangana,India,2603490,Medium,2020-07-04,61,Upper Middle
77,Wridesh,Kala,Male,1984-01-27,Coimbatore,Tamil Nadu,India,4831125,Low,2024-09-30,42,Upper Middle
78,Bhanumati,Gala,Female,1961-04-27,Coimbatore,Tamil Nadu,India,2094766,Low,2023-04-23,65,Upper Middle
79,Aadhya,Ramakrishnan,Female,1979-06-09,Kolkata,West Bengal,India,2035052,High,2022-12-07,47,Upper Middle
80,Vasana,Mangal,Female,1956-09-24,Indore,Madhya Pradesh,India,3490867,Medium,2020-12-30,69,Upper Middle
81,Yagnesh,Dubey,Male,1978-10-08,New Delhi,Delhi,India,4881289,Medium,2023-09-07,47,Upper Middle
82,Neelima,Kalla,Female,1987-11-27,Lucknow,Uttar Pradesh,India,4373860,Low,2019-09-19,38,Upper Middle
83,Bhavani,Murthy,Female,1976-05-06,Jaipur,Rajasthan,India,4780553,Low,2017-06-25,50,Upper Middle
84,Arya,Sood,Female,1999-08-10,Indore,Madhya Pradesh,India,3895464,Low,2017-06-17,26,Upper Middle
85,Zilmil,Dugar,Female,1988-12-25,Bengaluru,Karnataka,India,3046033,Low,2025-01-15,37,Upper Middle
86,Yashoda,Buch,Female,1987-12-05,Kolkata,West Bengal,India,2416206,High,2017-06-15,38,Upper Middle
87,Bakhshi,Bir,Male,1983-03-17,Mumbai,Maharashtra,India,875612,Medium,2019-08-25,43,Middle
88,Tamanna,Dar,Female,1993-06-26,Pune,Maharashtra,India,1578275,Low,2020-06-27,33,Upper Middle
89,Jatin,Baral,Male,1975-07-18,Surat,Gujarat,India,2449527,Medium,2026-03-06,50,Upper Middle
90,Shaurya,Virk,Male,1956-04-23,Indore,Madhya Pradesh,India,2909183,Low,2017-11-18,70,Upper Middle
91,Kalpit,Jayaraman,Male,1980-03-30,New Delhi,Delhi,India,937504,Medium,2021-11-13,46,Middle
92,Jagdish,Lanka,Male,1961-09-10,Vadodara,Gujarat,India,1315483,Medium,2021-10-31,64,Upper Middle
93,Ekaja,Mital,Female,1963-01-06,Kolkata,West Bengal,India,878451,Medium,2023-03-22,63,Middle
94,Nisha,Bora,Female,1974-05-18,Nashik,Maharashtra,India,3936657,High,2024-04-07,52,Upper Middle
95,Vasudha,Chaudhry,Female,1993-10-12,Mysuru,Karnataka,India,2565615,Medium,2016-08-23,32,Upper Middle
96,Hredhaan,Toor,Male,1958-09-15,Noida,Uttar Pradesh,India,2551464,Low,2017-09-25,67,Upper Middle
97,Ekaja,Palla,Female,1977-03-08,Vadodara,Gujarat,India,4198257,Medium,2020-12-30,49,Upper Middle
98,Krisha,Pingle,Female,1974-01-26,Kolkata,West Bengal,India,1825383,Medium,2017-08-28,52,Upper Middle
99,Farhan,Sarma,Male,1987-09-06,New Delhi,Delhi,India,2617508,Medium,2021-05-02,38,Upper Middle
100,Matthew,Wadhwa,Male,1958-12-19,Surat,Gujarat,India,4398488,Medium,2025-09-23,67,Upper Middle
101,Mason,Chawla,Male,1959-11-06,Kanpur,Uttar Pradesh,India,4059560,Medium,2016-08-14,66,Upper Middle
102,Libni,D’Alia,Female,1979-07-21,New Delhi,Delhi,India,2340991,Low,2018-10-09,46,Upper Middle
103,Garima,Magar,Female,1972-01-17,Kanpur,Uttar Pradesh,India,3869384,High,2018-04-23,54,Upper Middle
104,Henry,Oza,Male,1988-02-02,Kolkata,West Bengal,India,2408926,Low,2021-04-12,38,Upper Middle
105,Libni,Tiwari,Female,1957-10-14,Kolkata,West Bengal,India,1853149,Low,2019-12-14,68,Upper Middle
106,Jeremiah,Behl,Male,1999-03-28,New Delhi,Delhi,India,2785095,Low,2024-10-18,27,Upper Middle
107,Siddharth,Malhotra,Male,1959-10-15,New Delhi,Delhi,India,1361854,Low,2018-01-21,66,Upper Middle
108,Aarav,Nath,Male,1961-05-11,Hyderabad,Telangana,India,4417788,Low,2017-03-27,65,Upper Middle
109,Karan,Edwin,Male,1974-11-08,Bhopal,Madhya Pradesh,India,3994920,Low,2018-09-17,51,Upper Middle
110,Tanay,Andra,Male,1998-06-02,New Delhi,Delhi,India,3661377,Medium,2024-01-02,28,Upper Middle
111,Baljiwan,Dixit,Male,1969-02-07,Bengaluru,Karnataka,India,1014549,High,2018-05-23,57,Upper Middle
112,Anita,Pingle,Female,1966-09-11,Hyderabad,Telangana,India,2193200,Medium,2025-10-08,59,Upper Middle
113,Ethan,Sani,Male,1985-09-10,Noida,Uttar Pradesh,India,3897285,Low,2026-05-25,40,Upper Middle
114,Ansh,Morar,Male,1957-03-31,Indore,Madhya Pradesh,India,2070207,Low,2018-08-27,69,Upper Middle
115,Anusha,Parmar,Female,1993-09-27,Bengaluru,Karnataka,India,929689,Low,2022-09-09,32,Middle
116,Kritika,Chauhan,Female,1966-11-15,Kanpur,Uttar Pradesh,India,2743260,Low,2020-01-23,59,Upper Middle
117,Samar,Dubey,Male,2000-07-18,New Delhi,Delhi,India,2258100,High,2022-07-03,25,Upper Middle
118,Finn,Goel,Male,1971-03-19,Jaipur,Rajasthan,India,1549813,High,2020-07-07,55,Upper Middle
119,Amaira,Gola,Female,1995-01-30,Ahmedabad,Gujarat,India,2721041,Medium,2023-07-02,31,Upper Middle
120,Samesh,Kothari,Male,1987-10-25,New Delhi,Delhi,India,4829693,Medium,2022-02-20,38,Upper Middle
121,Fariq,Chokshi,Male,1978-01-26,Indore,Madhya Pradesh,India,2400238,Low,2021-01-09,48,Upper Middle
122,Anirudh,Singhal,Male,1956-08-05,Indore,Madhya Pradesh,India,2560822,Medium,2022-12-30,69,Upper Middle
123,Irya,Sharma,Female,1963-11-30,Kanpur,Uttar Pradesh,India,2633346,Low,2020-04-09,62,Upper Middle
124,Michael,Kari,Male,1975-01-14,Lucknow,Uttar Pradesh,India,3725472,Low,2022-06-08,51,Upper Middle
125,Amaira,Hans,Female,1978-07-20,Mysuru,Karnataka,India,4456295,Low,2020-04-12,47,Upper Middle
126,Nitesh,Mallick,Male,1976-05-26,Hyderabad,Telangana,India,2938361,Low,2023-04-07,50,Upper Middle
127,Liam,Panchal,Male,1962-10-10,Jaipur,Rajasthan,India,4175338,Medium,2017-09-01,63,Upper Middle
128,Ryan,Yadav,Male,1965-10-31,Hyderabad,Telangana,India,4008108,Medium,2025-02-25,60,Upper Middle
129,Akshay,D’Alia,Male,1986-11-26,New Delhi,Delhi,India,4366057,Low,2022-02-13,39,Upper Middle
130,Gaurav,Lanka,Male,1970-07-05,Mysuru,Karnataka,India,4932620,Medium,2020-12-06,56,Upper Middle
131,Darika,Saraf,Female,1997-08-08,Rajkot,Gujarat,India,1591603,Medium,2017-02-19,28,Upper Middle
132,Naksh,Sarin,Male,1978-11-05,Hyderabad,Telangana,India,4261266,Low,2022-05-15,47,Upper Middle
133,Devika,Rajan,Female,1966-10-26,Jaipur,Rajasthan,India,1445114,High,2025-03-09,59,Upper Middle
134,Ikshita,Kumar,Female,1973-02-25,Udaipur,Rajasthan,India,321518,Low,2026-04-18,53,Low
135,Urmi,Agarwal,Female,1995-11-20,Bhopal,Madhya Pradesh,India,4817941,Medium,2017-03-29,30,Upper Middle
136,Guneet,Patla,Male,1976-01-28,Hyderabad,Telangana,India,1882530,High,2025-05-01,50,Upper Middle
137,Bhavya,Narayanan,Female,1990-12-09,Bhopal,Madhya Pradesh,India,666140,Low,2023-10-28,35,Middle
138,David,Mital,Male,1962-08-15,Udaipur,Rajasthan,India,1575951,Medium,2021-10-29,63,Upper Middle
139,Nilima,Rege,Female,1968-01-25,Hubli,Karnataka,India,1141919,High,2025-02-11,58,Upper Middle
140,Saksham,Merchant,Male,2005-04-21,Rajkot,Gujarat,India,3739149,High,2022-01-13,21,Upper Middle
141,Eesha,Handa,Female,1989-01-15,Rajkot,Gujarat,India,3634331,Medium,2025-12-01,37,Upper Middle
142,Ranveer,Ghosh,Male,1984-08-22,Hyderabad,Telangana,India,4393200,High,2023-08-22,41,Upper Middle
143,Matthew,Ravi,Male,1989-08-18,Indore,Madhya Pradesh,India,2710709,High,2026-03-03,36,Upper Middle
144,Aachal,Modi,Female,1956-08-25,Jaipur,Rajasthan,India,1143115,Medium,2025-10-22,69,Upper Middle
145,Jagrati,Sani,Female,1985-06-10,Mumbai,Maharashtra,India,2760947,Low,2021-05-14,41,Upper Middle
146,Naveen,Shroff,Male,1971-12-14,Bengaluru,Karnataka,India,1810426,Low,2026-05-09,54,Upper Middle
147,Timothy,Kala,Male,1965-07-29,Bhopal,Madhya Pradesh,India,2320226,Medium,2024-01-02,60,Upper Middle
148,Warjas,Gara,Male,1965-03-05,Coimbatore,Tamil Nadu,India,4155156,Low,2025-03-08,61,Upper Middle
149,Meghana,Varma,Female,1961-10-08,Noida,Uttar Pradesh,India,1625195,Low,2017-12-05,64,Upper Middle
150,Charita,Keer,Female,1964-12-08,Bhopal,Madhya Pradesh,India,2397975,Medium,2022-03-10,61,Upper Middle
151,Jeevika,Issac,Female,1975-05-18,Coimbatore,Tamil Nadu,India,2289825,Low,2021-10-07,51,Upper Middle
152,Amaira,Batra,Female,1961-02-13,Bhopal,Madhya Pradesh,India,484042,High,2018-12-29,65,Low
153,Vyanjana,Bora,Female,1968-07-26,New Delhi,Delhi,India,711412,High,2020-08-26,57,Middle
154,Triya,Hayer,Female,1967-01-14,New Delhi,Delhi,India,2137143,Medium,2024-03-26,59,Upper Middle
155,Yachana,Ratta,Female,1998-08-18,Hubli,Karnataka,India,630700,Low,2023-01-07,27,Middle
156,Falak,Ahluwalia,Female,1959-05-09,Nagpur,Maharashtra,India,1056093,High,2020-08-21,67,Upper Middle
157,Unnati,Kanda,Female,1993-04-30,Jaipur,Rajasthan,India,4824880,High,2018-04-20,33,Upper Middle
158,Yochana,Shetty,Female,1995-02-25,Hyderabad,Telangana,India,4342032,High,2019-06-24,31,Upper Middle
159,Jeet,Dara,Male,1976-06-02,Kolkata,West Bengal,India,1480755,Medium,2017-05-05,50,Upper Middle
160,Ekalinga,Shetty,Male,1999-12-15,Udaipur,Rajasthan,India,416758,Low,2024-04-02,26,Low
161,Nitara,Savant,Female,1961-08-04,Noida,Uttar Pradesh,India,2499169,Medium,2025-07-10,64,Upper Middle
162,Tanay,Sehgal,Male,1975-06-29,Surat,Gujarat,India,3051516,High,2025-01-27,51,Upper Middle
163,Wazir,Sengupta,Male,1961-02-10,Rajkot,Gujarat,India,3725033,Low,2019-03-12,65,Upper Middle
164,Jatin,Malhotra,Male,1974-05-13,Nagpur,Maharashtra,India,1115305,Low,2020-11-23,52,Upper Middle
165,Xavier,Khare,Male,1981-07-31,Udaipur,Rajasthan,India,4831463,Medium,2025-05-10,44,Upper Middle
166,Urvi,Brahmbhatt,Female,1973-08-30,Jaipur,Rajasthan,India,3723524,High,2021-02-27,52,Upper Middle
167,Kamya,Magar,Female,1991-11-22,Nagpur,Maharashtra,India,4030379,High,2021-05-07,34,Upper Middle
168,Odika,Zachariah,Female,1970-08-16,Vadodara,Gujarat,India,3308774,Low,2022-03-14,55,Upper Middle
169,Ekapad,Dora,Male,1976-05-25,Chennai,Tamil Nadu,India,2079272,Medium,2017-11-09,50,Upper Middle
170,Rehaan,Dua,Male,1990-05-04,Nagpur,Maharashtra,India,2021389,Low,2020-06-03,36,Upper Middle
171,Azad,Sachdeva,Male,1991-01-20,Indore,Madhya Pradesh,India,1537774,Medium,2020-02-16,35,Upper Middle
172,Noah,Shukla,Male,1996-10-02,New Delhi,Delhi,India,2402639,Medium,2023-06-03,29,Upper Middle
173,Azaan,Jhaveri,Male,2005-01-01,Pune,Maharashtra,India,2295914,Medium,2023-07-24,21,Upper Middle
174,Robert,Bahri,Male,2002-05-01,Mysuru,Karnataka,India,3831273,Medium,2023-08-20,24,Upper Middle
175,Sachi,Sood,Female,1956-01-12,Noida,Uttar Pradesh,India,4605352,Medium,2026-04-13,70,Upper Middle
176,Patrick,Misra,Male,1966-06-21,Hyderabad,Telangana,India,4674249,Low,2016-08-02,60,Upper Middle
177,Ubika,Yohannan,Female,1979-12-04,Nashik,Maharashtra,India,1205649,Medium,2023-02-14,46,Upper Middle
178,Januja,Sura,Female,1984-08-31,Ahmedabad,Gujarat,India,1544314,Low,2025-10-11,41,Upper Middle
179,Madhavi,Sarin,Female,1980-09-07,Bhopal,Madhya Pradesh,India,4750633,Low,2020-03-21,45,Upper Middle
180,Akshay,Ramachandran,Male,1963-08-15,Ahmedabad,Gujarat,India,4924935,Medium,2024-09-30,62,Upper Middle
181,Tanmayi,Gandhi,Female,1990-12-08,Udaipur,Rajasthan,India,3143164,High,2022-03-16,35,Upper Middle
182,Eesha,Walla,Female,1984-12-02,Jaipur,Rajasthan,India,2921637,Medium,2024-06-09,41,Upper Middle
183,Ronith,Bala,Male,1975-06-07,Hubli,Karnataka,India,1065248,High,2016-12-11,51,Upper Middle
184,Upadhriti,Deshmukh,Female,1958-01-06,Jaipur,Rajasthan,India,1391487,Medium,2017-11-30,68,Upper Middle
185,Gavin,Bedi,Male,1982-08-03,Rajkot,Gujarat,India,3847851,High,2024-05-04,43,Upper Middle
186,Sachi,Narang,Female,1983-05-17,New Delhi,Delhi,India,4556484,Low,2020-11-29,43,Upper Middle
187,Vasana,Narain,Female,1982-09-28,Chennai,Tamil Nadu,India,3383325,Low,2020-02-02,43,Upper Middle
188,Sachi,Mall,Female,1977-09-26,Indore,Madhya Pradesh,India,4970271,Low,2022-03-25,48,Upper Middle
189,Lajita,Bumb,Female,1987-07-14,Pune,Maharashtra,India,2891951,High,2023-08-29,38,Upper Middle
190,Aditya,Zacharia,Male,1995-09-20,Pune,Maharashtra,India,3662022,Low,2024-06-27,30,Upper Middle
191,Pushti,Kapur,Female,1980-12-07,Surat,Gujarat,India,4105456,Low,2017-05-16,45,Upper Middle
192,Anmol,Balasubramanian,Male,1955-09-29,New Delhi,Delhi,India,1012671,High,2017-08-27,70,Upper Middle
193,Irya,Bahri,Female,2001-07-24,Hubli,Karnataka,India,984355,Low,2020-09-10,24,Middle
194,Jagdish,Date,Male,1976-12-10,Kanpur,Uttar Pradesh,India,2591489,Low,2019-01-29,49,Upper Middle
195,Deepa,Kamdar,Female,1998-02-10,Kolkata,West Bengal,India,4382171,Medium,2024-07-17,28,Upper Middle
196,Lavanya,Pillay,Female,1979-09-07,Pune,Maharashtra,India,759544,Low,2024-05-25,46,Middle
197,Dakshesh,Gade,Male,1957-03-07,Chennai,Tamil Nadu,India,2728058,Low,2019-05-05,69,Upper Middle
198,Chatura,Bal,Male,1978-04-12,Kanpur,Uttar Pradesh,India,1383688,Low,2021-10-11,48,Upper Middle
199,Riya,Ranganathan,Female,2000-12-13,Hyderabad,Telangana,India,654857,Medium,2021-10-17,25,Middle
200,Bishakha,Kibe,Female,1968-12-05,Vadodara,Gujarat,India,3692545,Medium,2019-11-11,57,Upper Middle
201,Nidhi,Dara,Female,1980-06-29,New Delhi,Delhi,India,3024352,Low,2018-03-22,46,Upper Middle
202,Anvi,Palan,Female,1978-05-17,Kolkata,West Bengal,India,2341086,Medium,2026-02-11,48,Upper Middle
203,Tanish,Prabhakar,Male,1980-02-02,Hyderabad,Telangana,India,3148043,Low,2025-07-20,46,Upper Middle
204,Yashica,Om,Female,1971-10-24,Ahmedabad,Gujarat,India,1926582,High,2017-08-29,54,Upper Middle
205,Shivansh,Suri,Male,1990-05-16,Kolkata,West Bengal,India,1528463,Low,2016-09-13,36,Upper Middle
206,Upma,Pathak,Female,1956-08-14,Indore,Madhya Pradesh,India,932109,Low,2018-04-13,69,Middle
207,Ganga,Saran,Female,1956-09-22,Kanpur,Uttar Pradesh,India,4065690,Medium,2024-04-22,69,Upper Middle
208,Yutika,Madan,Female,1977-06-06,Kolkata,West Bengal,India,4233595,Medium,2019-06-26,49,Upper Middle
209,Warhi,Shroff,Female,1982-10-23,New Delhi,Delhi,India,922356,Low,2025-08-23,43,Middle
210,Krish,Naidu,Male,1982-02-13,Mumbai,Maharashtra,India,943666,Medium,2023-11-24,44,Middle
211,Caleb,Mallick,Male,1975-09-17,Bhopal,Madhya Pradesh,India,4949942,High,2020-08-30,50,Upper Middle
212,Jairaj,Shetty,Male,1964-04-08,Kanpur,Uttar Pradesh,India,2997161,Medium,2024-02-27,62,Upper Middle
213,Ranveer,Nayar,Male,1999-01-11,Nashik,Maharashtra,India,1007404,Medium,2026-03-07,27,Upper Middle
214,Yug,Nair,Male,1959-12-03,Pune,Maharashtra,India,3986137,Medium,2016-12-22,66,Upper Middle
215,Yagnesh,Kala,Male,1986-12-22,Kolkata,West Bengal,India,3729006,Medium,2019-07-31,39,Upper Middle
216,Leela,Oak,Female,1984-05-21,Kolkata,West Bengal,India,4980534,Medium,2022-07-10,42,Upper Middle
217,Manya,Anne,Female,1984-05-28,New Delhi,Delhi,India,1486387,High,2021-03-30,42,Upper Middle
218,Ikshita,Chada,Female,1966-07-16,Jaipur,Rajasthan,India,1010674,Low,2025-04-11,59,Upper Middle
219,Tanvi,Suresh,Female,1962-07-20,Kolkata,West Bengal,India,4715707,Low,2020-08-04,63,Upper Middle
220,Jai,Soni,Male,2003-12-31,Hyderabad,Telangana,India,2890956,Low,2025-12-06,22,Upper Middle
221,Vanya,Badal,Female,1993-03-13,Kolkata,West Bengal,India,1453981,Low,2024-11-01,33,Upper Middle
222,Manan,Kant,Male,1963-01-23,Ahmedabad,Gujarat,India,1399319,Medium,2018-01-26,63,Upper Middle
223,Jairaj,Mohan,Male,1960-08-29,Bengaluru,Karnataka,India,1688643,Medium,2023-05-14,65,Upper Middle
224,Raksha,Solanki,Female,1962-03-15,Udaipur,Rajasthan,India,4026208,Medium,2026-05-19,64,Upper Middle
225,Orinder,Sandal,Male,1990-01-30,Madurai,Tamil Nadu,India,4234388,High,2025-11-26,36,Upper Middle
226,Oni,Pandey,Female,1976-02-17,Kolkata,West Bengal,India,3503378,Medium,2025-11-06,50,Upper Middle
227,Lopa,Mohan,Female,1967-05-04,Bengaluru,Karnataka,India,2397178,Low,2024-03-16,59,Upper Middle
228,Jack,Dara,Male,1959-10-24,Kolkata,West Bengal,India,1345872,Low,2020-10-06,66,Upper Middle
229,Nakul,Dar,Male,1973-04-27,New Delhi,Delhi,India,3969785,Low,2019-10-06,53,Upper Middle
230,Hiral,Handa,Female,2003-12-04,Noida,Uttar Pradesh,India,746751,Low,2025-08-08,22,Middle
231,Wyatt,Malhotra,Male,1999-12-26,Coimbatore,Tamil Nadu,India,2183567,Low,2020-03-02,26,Upper Middle
232,Megha,Chaudhry,Female,1997-06-16,Kolkata,West Bengal,India,2706518,High,2025-05-30,29,Upper Middle
233,Manbir,Karan,Male,1974-11-24,Hubli,Karnataka,India,344050,High,2019-10-16,51,Low
